Date,Heure,Température cible,Température Andeeraa (°C),Conductivité (mS/cm),Salinité (PSU),Relais
2025-06-30,12:21:42,20.00,38.69,6.000,16.3340,0
2025-06-30,12:21:45,20.00,38.69,6.000,16.3330,0
2025-06-30,12:21:47,20.00,38.69,6.000,16.3320,0
2025-06-30,12:21:49,20.00,38.67,6.000,16.3330,0
2025-06-30,12:21:51,20.00,38.67,6.000,16.3320,0
2025-06-30,12:21:54,20.00,38.67,6.000,16.3310,0
2025-06-30,12:21:56,20.00,38.68,6.000,16.3310,0
2025-06-30,12:21:58,20.00,38.67,6.000,16.3280,0
2025-06-30,12:22:01,20.00,38.68,6.000,16.3240,0
2025-06-30,12:22:03,20.00,38.67,6.000,16.3190,0
2025-06-30,12:22:05,20.00,38.68,6.000,16.3160,0
2025-06-30,12:26:24,20.000,38.560,6.000,16.209,0
2025-06-30,12:26:26,20.000,38.552,6.000,16.207,0
2025-06-30,12:26:28,20.000,38.554,6.000,16.207,0
2025-06-30,12:26:30,20.000,38.549,6.000,16.207,0
2025-06-30,12:26:33,20.000,38.548,6.000,16.206,0
2025-06-30,12:31:22,20.000,6.000,38.410,16.043,0
2025-06-30,12:31:24,20.000,6.000,38.406,16.048,0
2025-06-30,12:31:27,20.000,6.000,38.404,16.049,0
2025-06-30,12:31:29,20.000,38.400,6.000,16.051,1
2025-06-30,12:31:31,20.000,6.000,38.408,16.044,0
2025-06-30,12:31:34,20.000,6.000,38.404,16.037,0
2025-06-30,12:31:36,20.000,6.000,38.405,16.038,0
2025-06-30,12:31:38,20.000,6.000,38.408,16.042,0
2025-06-30,12:41:00,20.000,38.168,6.000,15.755,0
2025-06-30,12:41:02,20.000,38.161,6.000,15.758,0
2025-06-30,12:41:04,20.000,38.174,6.000,15.762,0
2025-06-30,12:41:06,20.000,38.166,6.000,15.763,0
2025-06-30,12:41:09,20.000,38.168,6.000,15.765,0
2025-06-30,12:41:53,20.000,38.155,6.000,15.735,0
2025-06-30,12:41:56,20.000,38.143,6.000,15.733,0
2025-06-30,12:41:58,20.000,38.139,6.000,15.735,0
2025-06-30,12:42:00,20.000,38.145,6.000,15.737,0
2025-06-30,12:45:49,20.000,38.045,6.000,15.608,0
2025-06-30,12:45:51,20.000,38.045,6.000,15.610,0
2025-06-30,12:45:53,20.000,38.039,6.000,15.611,0
2025-06-30,12:45:56,20.000,38.047,6.000,15.614,0
2025-06-30,12:45:58,20.000,38.042,6.000,15.610,0
2025-06-30,12:46:00,20.000,38.037,6.000,15.603,0
2025-06-30,12:46:03,20.000,38.043,6.000,15.602,0
2025-06-30,12:46:05,20.000,38.049,6.000,15.599,0
2025-06-30,12:46:07,20.000,38.050,6.000,15.598,0
2025-06-30,12:46:10,20.000,38.045,6.000,15.598,0
2025-06-30,12:46:12,20.000,38.048,6.000,15.603,0
2025-06-30,12:46:14,20.000,38.046,6.000,15.604,0
2025-06-30,12:46:16,20.000,38.048,6.000,15.600,0
2025-06-30,12:46:19,20.000,38.046,6.000,15.598,0
2025-06-30,12:48:42,20.000,37.973,6.000,15.520,0
2025-06-30,12:48:45,20.000,37.970,6.000,15.514,0
2025-06-30,12:48:47,20.000,37.971,6.000,15.512,0
2025-06-30,12:48:59,20.000,37.969,6.000,15.509,0
2025-06-30,12:49:02,20.000,37.958,6.000,15.517,0
2025-06-30,12:49:04,20.000,37.963,6.000,15.519,0
2025-06-30,12:49:06,20.000,15.519,37.970,30.129,1
2025-06-30,12:49:28,20.000,37.961,6.000,15.502,0
2025-06-30,12:49:30,20.000,37.954,6.000,15.504,0
2025-06-30,12:49:33,20.000,37.955,6.000,15.505,0
2025-06-30,12:49:35,20.000,37.951,6.000,15.501,0
2025-06-30,12:49:37,20.000,37.946,6.000,15.496,0
2025-06-30,12:49:40,20.000,37.944,6.000,15.497,0
2025-06-30,12:49:42,20.000,37.954,6.000,15.499,0
2025-06-30,12:49:44,20.000,37.948,6.000,15.499,0
2025-06-30,12:49:47,20.000,37.938,6.000,15.496,0
2025-06-30,12:49:49,20.000,37.938,6.000,15.500,0
2025-06-30,12:49:51,20.000,37.941,6.000,15.495,0
2025-06-30,12:52:15,20.000,15.417,37.878,30.126,1
2025-06-30,12:52:17,20.000,15.423,37.880,30.123,1
2025-06-30,12:52:19,20.000,15.425,37.870,30.113,1
2025-06-30,12:52:22,20.000,15.417,37.872,30.121,1
2025-06-30,12:52:24,20.000,15.420,37.872,30.119,1
2025-06-30,12:52:26,20.000,15.419,37.888,30.134,1
2025-06-30,12:52:28,20.000,15.416,37.876,30.126,1
2025-06-30,12:52:31,20.000,15.418,37.874,30.122,1
2025-06-30,13:00:07,5.00,15.217,37.705,30.127,0
2025-06-30,13:00:09,5.00,15.212,37.717,30.140,0
2025-06-30,13:00:11,5.00,15.208,37.713,30.141,0
2025-06-30,13:00:13,5.00,15.212,37.711,30.136,0
2025-06-30,13:00:16,5.00,15.211,37.709,30.134,0
2025-06-30,13:00:18,5.00,15.209,37.698,30.127,0
2025-06-30,13:00:20,5.00,15.204,37.712,30.142,0
2025-06-30,13:02:11,16.00,15.143,37.658,30.141,1
2025-06-30,13:02:13,16.00,15.147,37.671,30.149,1
2025-06-30,13:02:15,16.00,15.145,37.658,30.140,1
2025-06-30,13:02:17,16.00,15.146,37.662,30.143,1
2025-06-30,13:02:20,16.00,15.145,37.651,30.133,1
2025-06-30,13:02:22,16.00,15.144,37.658,30.141,1
2025-06-30,13:02:24,16.00,15.142,37.658,30.142,1
2025-06-30,13:02:27,16.00,15.137,37.661,30.148,1
2025-06-30,13:05:27,16.00,15.086,37.604,30.137,1
2025-06-30,13:05:29,16.00,15.084,37.611,30.145,1
2025-06-30,13:05:31,16.00,15.086,37.604,30.137,1
2025-06-30,13:05:34,16.00,15.085,37.611,30.144,1
2025-06-30,13:05:36,16.00,15.081,37.605,30.142,1
2025-06-30,13:05:38,16.00,15.080,37.600,30.138,1
2025-06-30,13:05:41,16.00,15.084,37.599,30.135,1
2025-06-30,13:05:43,16.00,15.079,37.589,30.129,1
2025-06-30,13:05:45,16.00,15.077,37.595,30.135,1
2025-06-30,13:05:48,16.00,15.082,37.603,30.138,1
2025-06-30,13:05:50,16.00,15.082,37.599,30.136,1
2025-06-30,13:05:52,16.00,15.079,37.600,30.138,1
2025-06-30,13:05:54,16.00,15.081,37.606,30.143,1
2025-06-30,13:05:57,16.00,15.082,37.593,30.130,1
2025-06-30,13:05:59,16.00,15.080,37.594,30.132,1
2025-06-30,13:06:01,16.00,15.080,37.602,30.140,1
2025-06-30,13:06:04,16.00,15.077,37.610,30.150,1
2025-06-30,13:06:07,16.00,15.072,37.613,30.156,1
2025-06-30,13:06:09,16.00,15.073,37.611,30.153,1
2025-06-30,13:06:12,16.00,15.078,37.617,30.155,1
2025-06-30,13:06:14,16.00,15.081,37.601,30.138,1
2025-06-30,13:06:16,16.00,15.083,37.614,30.148,1
2025-06-30,13:06:19,16.00,15.088,37.603,30.134,1
2025-06-30,13:06:21,16.00,15.090,37.606,30.136,1
2025-06-30,13:06:23,16.00,15.091,37.600,30.129,1
2025-06-30,13:06:25,16.00,15.088,37.624,30.153,1
2025-06-30,13:06:28,16.00,15.085,37.624,30.155,1
2025-06-30,13:06:30,16.00,15.084,37.629,30.160,1
2025-06-30,13:06:32,16.00,15.090,37.640,30.166,1
2025-06-30,13:06:35,16.00,15.095,37.638,30.160,1
2025-06-30,13:06:38,16.00,15.101,37.638,30.156,1
2025-06-30,13:06:40,16.00,15.106,37.636,30.150,1
2025-06-30,13:06:43,16.00,15.109,37.641,30.152,1
2025-06-30,13:06:45,16.00,15.113,37.644,30.152,1
2025-06-30,13:06:47,16.00,15.117,37.653,30.157,1
2025-06-30,13:06:50,16.00,15.121,37.654,30.154,1
2025-06-30,13:06:52,16.00,15.123,37.690,30.184,1
